CM020065.1	78980889	78980983	CM023925.1	9705603	9705692	+
CM020065.1	78981947	78984433	CM023939.1	63028538	63029547	+
CM020065.1	78991381	78991712	CM023916.1	61925931	61926213	+
CM020065.1	78995076	78996763	CM023913.1	40530214	40531903	+
CM020065.1	78997316	78998005	CM023939.1	63018452	63019199	+
CM020065.1	79012732	79013047	CM023912.1	54515436	54515763	+
CM020065.1	79037035	79037133	CM023916.1	61941241	61941342	+
CM020065.1	79040239	79040591	CM023939.1	62954576	62955010	+
CM020065.1	79041316	79042045	CM023914.1	24704137	24704880	+
CM020065.1	79055513	79055678	CM023916.1	61941868	61942043	+
CM020065.1	79058847	79059026	CM023916.1	61943350	61943529	+
CM020065.1	79063951	79064196	CM023913.1	100615556	100615797	+
CM020065.1	79064221	79064382	CM023938.1	60372123	60372302	+
CM020065.1	79070542	79070790	CM023938.1	60377487	60377781	+
CM020065.1	79075993	79077616	CM023914.1	82760794	82762025	+
CM020065.1	79083377	79083557	CM023915.1	67172511	67172715	+
CM020065.1	79083557	79084676	CM023913.1	128597728	128598973	+
CM020065.1	79088916	79089889	CM023939.1	55260120	55261239	+
CM020065.1	79089904	79089987	CM023913.1	37864136	37864232	+
CM020065.1	79096579	79096627	CM023916.1	48286336	48286384	+
CM020065.1	79097572	79098739	CM023913.1	133133474	133134649	+
CM020065.1	79099779	79104359	CM023912.1	93240723	93243543	+
CM020065.1	79104359	79104800	CM023938.1	41828598	41829010	+
CM020065.1	79112783	79113879	CM023915.1	34395418	34396672	+
CM020065.1	79126778	79128367	CM023916.1	41486827	41488155	+
CM020065.1	79128367	79128571	CM023912.1	42355584	42355773	+
CM020065.1	79129365	79130516	CM023915.1	45156080	45157580	+
CM020065.1	79130516	79130637	CM023914.1	84133041	84133166	+
CM020065.1	79132328	79133105	CM023913.1	59433843	59434623	+
CM020065.1	79136783	79137327	CM023913.1	120099864	120100428	+
CM020065.1	79141782	79141993	CM023916.1	61953359	61953573	+
CM020065.1	79142182	79142264	CM023920.1	16417935	16418017	+
CM020065.1	79148317	79148428	CM023916.1	61954461	61954572	+
CM020065.1	79152167	79152211	CM023927.1	1339289	1339333	+
CM020065.1	79157315	79157477	CM023916.1	61954684	61954843	+
CM020065.1	79161933	79162421	CM023913.1	37480870	37481373	+
CM020065.1	79165808	79168139	CM023916.1	61955972	61959150	+
CM020065.1	79170031	79170155	CM023938.1	60621803	60621931	+
CM020065.1	79170343	79170685	CM023938.1	35542812	35543103	+
CM020065.1	79173173	79173535	CM023915.1	38523910	38524320	+
