CM020065.1	270839	272213	NC_048304.1	95809978	95811373	+
CM020065.1	272275	272367	NC_048301.1	81560445	81560537	+
CM020065.1	281414	282459	NC_048314.1	17256843	17257826	+
CM020065.1	282459	282636	NC_048304.1	105986138	105986312	+
CM020065.1	285090	285134	NC_048298.1	69567152	69567196	+
CM020065.1	287493	287615	NC_048301.1	81561644	81561766	+
CM020065.1	289419	292579	NC_048300.1	178469036	178472223	+
CM020065.1	292579	293581	NC_048308.1	7198961	7199694	+
CM020065.1	297837	297931	NC_048302.1	12031458	12031546	+
CM020065.1	302507	303172	NC_048301.1	81562011	81563521	+
CM020065.1	304271	304392	NC_048301.1	81573415	81573536	+
CM020065.1	306090	306495	NC_048306.1	79526579	79526975	+
CM020065.1	313278	313875	NC_048299.1	123542207	123542865	+
CM020065.1	315789	316927	NC_048299.1	207252516	207253400	+
CM020065.1	316927	317252	NC_048314.1	3904199	3904544	+
CM020065.1	317956	318411	NC_048302.1	52439711	52440178	+
CM020065.1	321888	322260	NC_048300.1	133785348	133785752	+
CM020065.1	329558	329637	NC_048301.1	81631997	81632076	+
CM020065.1	333539	334440	NC_048306.1	57701750	57702688	+
CM020065.1	335137	336913	NC_048310.1	27025332	27026873	+
CM020065.1	339314	339433	NC_048302.1	76899663	76899784	+
CM020065.1	349101	349799	NC_048299.1	58513762	58514474	+
CM020065.1	364767	364960	NC_048300.1	154532105	154532323	+
CM020065.1	364960	365053	NC_048315.1	8394397	8394490	+
CM020065.1	374130	374982	NC_048298.1	146341900	146343004	+
CM020065.1	377875	378506	NC_048309.1	6092224	6092903	+
CM020065.1	379845	380616	NC_048302.1	2024891	2025709	+
CM020065.1	381546	381635	NC_048302.1	70579185	70579280	+
CM020065.1	398291	398412	NC_048300.1	4191397	4191511	+
CM020065.1	401398	401731	NC_048298.1	112913555	112913912	+
CM020065.1	403776	403867	NC_048302.1	22593345	22593436	+
CM020065.1	405216	405318	NC_048299.1	192754790	192754889	+
CM020065.1	420946	421853	NC_048299.1	33306936	33308013	+
CM020065.1	428946	429032	NC_048300.1	35060971	35061057	+
CM020065.1	431488	431586	NC_048301.1	91887827	91887950	+
CM020065.1	431586	431742	NC_048298.1	319050569	319050777	+
CM020065.1	442025	442498	NC_048303.1	128235597	128236079	+
CM020065.1	446674	446825	NC_048301.1	81740524	81740667	+
CM020065.1	460042	460288	NC_048310.1	1178979	1179241	+
CM020065.1	462595	462771	NC_048321.1	10782902	10783084	+
CM020065.1	462998	463081	NC_048310.1	25435794	25435877	+
CM020065.1	468410	468493	NC_048304.1	46859962	46860049	+
CM020065.1	475145	475298	NC_048303.1	63321649	63321791	+
CM020065.1	475854	476162	NC_048300.1	199848692	199849003	+
CM020065.1	476716	477627	NC_048303.1	128235597	128236500	+
CM020065.1	486288	486486	NC_048304.1	52146186	52146385	+
CM020065.1	486486	486608	NC_048310.1	26452638	26452772	+
CM020065.1	487397	489534	NC_048298.1	54898111	54900500	+
CM020065.1	492283	492382	NC_048306.1	93642665	93642764	+
CM020065.1	499338	499964	NC_048302.1	103084345	103085011	+
CM020065.1	501414	502484	NC_048299.1	91249188	91250398	+
CM020065.1	502590	502816	NC_048300.1	48145524	48145761	+
CM020065.1	503897	504024	NC_048304.1	118615369	118615491	+
CM020065.1	506961	507057	NC_048307.1	65176563	65176656	+
CM020065.1	508946	509044	NC_048301.1	81862548	81862646	+
CM020065.1	515923	516792	NC_048298.1	308018777	308019690	+
CM020065.1	522481	522619	NC_048301.1	81864259	81864397	+
CM020065.1	523869	524139	NC_048305.1	65590017	65591119	+
CM020065.1	525275	525356	NC_048302.1	102855880	102855961	+
CM020065.1	532653	533839	NC_048304.1	495199	496405	+
CM020065.1	535044	535253	NC_048307.1	60997125	60997337	+
CM020065.1	535673	537372	NC_048298.1	285496728	285498520	+
CM020065.1	540974	541058	NC_048301.1	34700965	34701049	+
CM020065.1	543116	543265	NC_048306.1	70160044	70160211	+
CM020065.1	543481	544201	NC_048300.1	92881520	92882349	+
CM020065.1	544438	544608	NC_048299.1	133649612	133649773	+
CM020065.1	545779	545933	NC_048301.1	82010969	82011123	+
CM020065.1	548379	548467	NC_048301.1	82014706	82014794	+
CM020065.1	566716	566818	NC_048300.1	58934027	58934140	+
CM020065.1	568067	570363	NC_048301.1	82042176	82044565	+
CM020065.1	585221	585399	NC_048298.1	341784360	341784532	+
CM020065.1	590407	590882	NC_048300.1	131296711	131297228	+
CM020065.1	591376	591699	NC_048302.1	15182873	15183217	+
CM020065.1	592017	592587	NC_048302.1	43809201	43809929	+
CM020065.1	595121	595370	NC_048301.1	82057901	82058146	+
CM020065.1	598988	599050	NC_048300.1	132826656	132826726	+
CM020065.1	603984	606223	NC_048301.1	72979023	72989163	+
CM020065.1	607420	607485	NC_048310.1	5947775	5947846	+
CM020065.1	610794	610845	NC_048301.1	142126446	142126499	+
CM020065.1	611302	611399	NC_048301.1	73013846	73013943	+
CM020065.1	621854	622148	NC_048301.1	110873265	110873578	+
