CM012306.1	1715513	1718214	CM008855.1	3209150	3209938	+
CM012306.1	1721195	1721320	CM008855.1	3211398	3211520	+
CM012306.1	1730652	1730822	CM008855.1	3212647	3212816	+
CM012306.1	1757567	1757743	CM008855.1	3215230	3215406	+
CM012306.1	1861167	1861986	CM008854.1	2914987	2918413	+
CM012306.1	1895556	1895659	CM008855.1	3227242	3227342	+
CM012306.1	1902964	1903053	CM008855.1	3229816	3229905	+
CM012306.1	1907383	1908897	CM008855.1	3230196	3231071	+
CM012306.1	1911511	1911604	CM008855.1	3231794	3231887	+
CM012306.1	1911984	1912054	CM008828.1	6929197	6929267	+
CM012306.1	1917143	1923273	CM008855.1	3232487	3233329	+
CM012306.1	1925260	1925347	CM008828.1	189169289	189169383	+
CM012306.1	1929845	1930078	CM008828.1	189175414	189175637	+
CM012306.1	1936713	1936875	CM008855.1	3233570	3233732	+
CM012306.1	1941068	1941138	CM008855.1	3233914	3233984	+
CM012306.1	1968788	1968921	CM008855.1	3239572	3239694	+
CM012306.1	1976444	1979108	CM008855.1	3240405	3241206	+
CM012306.1	1994733	1994909	CM008828.1	160545015	160545178	+
CM012306.1	1994909	1994940	CM008828.1	175770247	175770275	+
CM012306.1	1995922	1995986	CM008828.1	132770725	132770789	+
CM012306.1	1997530	2006419	CM008855.1	930421	932946	+
CM012306.1	2021385	2021514	CM008829.1	139157258	139157387	+
CM012306.1	2058363	2078963	CM008855.1	935316	940715	+
CM012306.1	2120381	2120504	CM008852.1	2636685	2636808	+
CM012306.1	2123482	2123551	CM008857.1	34422515	34422599	+
CM012306.1	2123571	2144234	CM008855.1	960510	971875	+
CM012306.1	2149815	2150018	CM008855.1	973418	973620	+
CM012306.1	2154857	2155117	CM008855.1	975603	975865	+
CM012306.1	2193938	2194083	CM008855.1	2825117	2825262	+
CM012306.1	2228443	2232806	CM008855.1	2816494	2819185	+
CM012306.1	2256158	2259186	CM008846.1	6539148	6539400	+
CM012306.1	2287907	2287993	CM008828.1	188311096	188311178	+
CM012306.1	2298403	2305889	CM008838.1	6591654	6597032	+
CM012306.1	2332783	2332903	CM008829.1	123258884	123258982	+
CM012306.1	2418656	2418791	CM008828.1	165051521	165051657	+
CM012306.1	2449182	2449271	CM008832.1	6391745	6391833	+
CM012306.1	2461247	2462172	CM008838.1	16535104	16536032	+
CM012306.1	2515261	2515335	CM008842.1	10465310	10465388	+
CM012306.1	2528370	2528466	CM008855.1	4026618	4026711	+
CM012306.1	2571501	2571567	CM008829.1	129867480	129867545	+
CM012306.1	2572825	2578825	CM008831.1	12050522	12057677	+
CM012306.1	2594244	2594299	CM008828.1	132770741	132770796	+
CM012306.1	2602905	2603681	CM008828.1	154168845	154170896	+
CM012306.1	2611730	2611801	CM008834.1	6796663	6796734	+
CM012306.1	2613080	2628689	CM008857.1	21579437	21589252	+
CM012306.1	2632433	2632517	CM008830.1	16389653	16389735	+
CM012306.1	2632599	2632736	CM008857.1	21589425	21589562	+
CM012306.1	2637365	2637522	CM008857.1	21593555	21593712	+
CM012306.1	2638450	2638576	CM008832.1	28545253	28545382	+
CM012306.1	2639363	2639449	CM008857.1	21598498	21598584	+
CM012306.1	2657065	2657751	CM008857.1	28253050	28253706	+
CM012306.1	2657755	2657848	CM008828.1	104374829	104374914	+
CM012306.1	2666782	2669689	CM008839.1	18470716	18473199	+
CM012306.1	2714701	2714813	CM008839.1	18466810	18466922	+
CM012306.1	2718397	2718490	CM008828.1	68143409	68143502	+
CM012306.1	2723263	2723391	CM008828.1	68143977	68144106	+
CM012306.1	2724954	2730382	CM008839.1	18473721	18477587	+
CM012306.1	2731715	2731798	CM008839.1	18477493	18477576	+
CM012306.1	2816864	2817071	CM008830.1	76134524	76134721	+
CM012306.1	2870083	2870235	CM008837.1	10421761	10421913	+
CM012306.1	2877193	2877267	CM008837.1	10424570	10424644	+
CM012306.1	2878677	2878892	CM008837.1	10430387	10430596	+
CM012306.1	2879436	2879622	CM008837.1	10445444	10445632	+
CM012306.1	2903274	2903379	CM008857.1	44953979	44954084	+
CM012306.1	2904358	2908134	CM008857.1	44958792	44960237	+
CM012306.1	2914128	2914268	CM008857.1	44965772	44965912	+
CM012306.1	2915758	2915834	CM008857.1	44966789	44966865	+
CM012306.1	2919561	2919687	CM008857.1	44968080	44968205	+
CM012306.1	2968321	2992145	CM008855.1	3870922	3878412	+
CM012306.1	3046279	3046372	CM008828.1	132770722	132770814	+
CM012306.1	3048817	3048898	CM008829.1	38852331	38852412	+
CM012306.1	3146394	3146542	CM008855.1	3759402	3759555	+
CM012306.1	3223301	3223362	CM008828.1	193255288	193255349	+
CM012306.1	3224080	3224287	CM008852.1	1321194	1321408	+
CM012306.1	3226953	3227120	CM008852.1	1321463	1321623	+
CM012306.1	3266547	3266687	CM008855.1	3747711	3747851	+
